symbol,ex_dividend_date,dividend_receive_date,dividend_amount
00946,2024-09-06,2024-09-30,
00940,2024-09-05,2024-10-01,
00939,2024-09-03,2024-09-27,
00907,2024-08-23,2024-09-20,0.33
00923,2024-08-21,2024-09-11,0.923
00731,2024-08-20,2024-09-13,3.38
00775B,2024-08-20,2024-09-16,0.43
00929,2024-08-20,2024-09-13,0.18
00690,2024-08-16,2024-09-04,1.0
00701,2024-08-16,2024-09-11,0.3
00771,2024-08-16,2024-09-12,0.22
00850,2024-08-16,2024-09-12,0.62
00878,2024-08-16,2024-09-11,0.55
00881,2024-08-16,2024-09-11,1.0
00891,2024-08-16,2024-09-11,0.41
00894,2024-08-16,2024-09-11,0.7
00900,2024-08-16,2024-09-11,0.792
00913,2024-08-16,2024-09-04,0.66
00932,2024-08-16,2024-09-04,0.65
00934,2024-08-16,2024-09-11,0.14
00944,2024-08-16,2024-09-12,0.058
00945B,2024-08-16,2024-09-11,0.102
00936,2024-08-15,2024-09-04,0.16
00940,2024-08-08,2024-09-02,0.05
00946,2024-08-07,2024-08-28,0.067
00939,2024-08-01,2024-08-26,0.063
00930,2024-07-25,2024-08-20,0.36
00714,2024-07-19,2024-08-09,0.123
00927,2024-07-19,2024-08-09,0.64
00904,2024-07-18,2024-08-14,0.1
00911,2024-07-17,2024-08-13,1.2
00929,2024-07-17,2024-08-12,0.18
0050,2024-07-16,2024-08-09,1.0
0056,2024-07-16,2024-08-09,1.07
006203,2024-07-16,2024-08-09,0.9
006208,2024-07-16,2024-08-09,0.783
00692,2024-07-16,2024-08-09,0.415
00702,2024-07-16,2024-08-09,0.66
00717,2024-07-16,2024-08-09,0.173
00735,2024-07-16,2024-08-09,2.73
00736,2024-07-16,2024-08-09,0.13
00882,2024-07-16,2024-08-09,0.4
00892,2024-07-16,2024-08-09,0.145
00905,2024-07-16,2024-08-08,0.37
00908,2024-07-16,2024-08-09,0.245
00912,2024-07-16,2024-08-09,0.25
00934,2024-07-16,2024-08-09,0.33
00944,2024-07-16,2024-08-09,0.058
00945B,2024-07-16,2024-08-09,0.102
00936,2024-07-15,2024-08-02,0.16
00940,2024-07-11,2024-08-01,0.05
00907,2024-06-25,2024-07-19,0.33
00919,2024-06-24,2024-07-15,0.7
00710B,2024-06-20,2024-07-16,0.26
00711B,2024-06-20,2024-07-16,0.19
00712,2024-06-20,2024-07-16,0.22
00896,2024-06-20,2024-07-15,
00916,2024-06-20,2024-07-15,0.22
00929,2024-06-20,2024-07-16,0.2
00713,2024-06-19,2024-07-15,1.5
00896,2024-06-19,2024-07-15,0.45
00915,2024-06-19,2024-07-15,0.72
00918,2024-06-19,2024-07-15,0.8
00921,2024-06-19,2024-07-17,0.58
00936,2024-06-18,2024-07-08,0.25
00930,2024-05-23,2024-06-20,0.36
00731,2024-05-21,2024-06-17,3.38
00775B,2024-05-21,2024-06-18,0.32
00929,2024-05-21,2024-06-17,0.2
00771,2024-05-17,2024-06-14,0.21
00850,2024-05-17,2024-06-14,0.54
00878,2024-05-17,2024-06-13,0.51
00891,2024-05-17,2024-06-13,0.4
00894,2024-05-17,2024-06-13,0.1
00900,2024-05-17,2024-06-13,0.1
00690,2024-05-16,2024-06-17,0.9
00932,2024-05-16,2024-06-17,0.52
00936,2024-05-16,2024-06-05,0.16
00929,2024-04-23,2024-05-20,0.2
00904,2024-04-22,2024-05-20,0.05
00907,2024-04-22,2024-05-20,0.141
0052,2024-04-18,2024-05-15,6.43
0056,2024-04-18,2024-05-15,0.79
00714,2024-04-18,2024-05-15,0.123
00717,2024-04-18,2024-05-15,0.166
00733,2024-04-18,2024-05-15,5.153
00905,2024-04-18,2024-05-16,0.21
00908,2024-04-18,2024-05-15,0.144
00909,2024-04-18,2024-05-15,1.81
00912,2024-04-18,2024-05-15,0.23
00927,2024-04-18,2024-05-15,0.4
00936,2024-04-17,2024-05-08,0.11
00921,2024-03-21,2024-04-17,0.3
